name,time,air_Pressure_mH2o,air_Temp_float,airtime,batt,channel,coding_rate,counter,data_rate,dev_id,dist,dist2,frequency,gateway_time,gateway_timestamp,gtw_id,hardware_serial,is_retry,modulation,payload_raw,port,rf_chain,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
puhatu,1.60361E+18,-1,0,1.97E+09,3.04,3,04-May,0,SF12BW125,fipy_e1,29.40028763,,867.1,2020-10-25T08:35:39.052106Z,1.95E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,Bl1CQMoz60GJOiRBB+WeQQAAgL8AAAAA,1,0,-18,12.8,10.26429081,19.86182976,
puhatu,1.60362E+18,-1,0,1.97E+09,3.03,6,04-May,0,SF12BW125,fipy_e1,28.29703903,,867.7,2020-10-25T09:04:06.626596Z,3.66E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,dB1CQFZg4kEAAIC/AAAAAAAAgL8AAAAA,1,0,-19,14,-1,0,
puhatu,1.60362E+18,-1,0,1.97E+09,3.03,6,04-May,0,SF12BW125,fipy_e1,31.05386734,,867.7,2020-10-25T09:34:12.067616Z,1.17E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,3K1BQFJu+EEeSyRBGB6fQQAAgL8AAAAA,1,0,-18,12.5,10.26833916,19.88969421,
puhatu,1.60362E+18,-1,0,1.97E+09,3.02,3,04-May,0,SF12BW125,fipy_e1,39.43009949,,867.1,2020-10-25T10:12:27.468047Z,3.47E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,EmdBQGy4HUL5VSRBsqKvQQAAgL8AAAAA,1,0,-17,10,10.27098942,21.95444107,
puhatu,1.60362E+18,-1,0,1.97E+09,3.01,0,04-May,0,SF12BW125,fipy_e1,28.84946632,,868.1,2020-10-25T10:17:28.757452Z,3.77E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,7PFAQLXL5kEAACDBAAAAAAAAgL8AAAAA,1,0,-15,10.2,-10,0,
puhatu,1.60362E+18,-1,0,1.97E+09,3.02,3,04-May,0,SF12BW125,fipy_e1,30.69465256,,867.1,2020-10-25T10:48:49.94552Z,1.35E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,KylBQKaO9UFTaSRBzOGiQQAAgL8AAAAA,1,0,-15,13,10.27571392,20.36025238,
puhatu,1.60362E+18,-1,0,1.97E+09,3.02,5,04-May,0,SF12BW125,fipy_e1,28.13861084,,867.5,2020-10-25T11:17:13.862627Z,3.06E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,9mBBQOAb4UFAciRB8sCiQQAAgL8AAAAA,1,0,-16,9.2,10.27789307,20.34421158,
puhatu,1.60363E+18,-1,0,1.97E+09,3.03,5,04-May,0,SF12BW125,fipy_e1,27.87006569,,867.5,2020-10-25T11:47:16.391434Z,5.66E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,IrNBQOX13kHveCRBQOChQQAAgL8AAAAA,1,0,-16,9.5,10.2795248,20.23449707,
puhatu,1.60363E+18,-1,0,1.97E+09,3.02,0,04-May,0,SF12BW125,fipy_e1,30.38412857,,868.1,2020-10-25T12:17:18.750035Z,2.37E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,p5dBQLIS80FMdiRByymhQQAAgL8AAAAA,1,0,-18,14.5,10.27888107,20.14540672,
puhatu,1.60363E+18,-1,0,1.97E+09,3.02,1,04-May,0,SF12BW125,fipy_e1,29.10435867,,868.3,2020-10-25T12:47:17.654398Z,4.17E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,qTBBQLrV6EEUeiRB+X+hQQAAgL8AAAAA,1,0,-14,13,10.27980423,20.18748665,
puhatu,1.60363E+18,-1,0,1.97E+09,3.07,2,04-May,0,SF12BW125,fipy_e1,28.82393265,,868.5,2020-10-25T13:17:17.688449Z,1.67E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,dHtEQGqX5kEqhCRBn/CgQQAAgL8AAAAA,1,0,-13,10.5,10.28226662,20.11749077,
puhatu,1.60363E+18,-1,0,1.97E+09,3.42,5,04-May,0,SF12BW125,fipy_e1,27.13297653,,867.5,2020-10-25T13:47:16.23971Z,3.47E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,Ay9bQFYQ2UHXmSRBHSagQQAAgL8AAAAA,1,0,-13,10.8,10.28755856,20.01861,
puhatu,1.60364E+18,-1,0,1.97E+09,3.42,3,04-May,0,SF12BW125,fipy_e1,28.52327347,,867.1,2020-10-25T14:17:17.383136Z,9.77E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,WihbQKov5EGinSRBioWgQQAAgL8AAAAA,1,0,-14,13,10.28848457,20.06520462,
puhatu,1.60364E+18,-1,0,1.97E+09,3.42,3,04-May,0,SF12BW125,fipy_e1,29.71364975,,867.1,2020-10-25T14:50:24.796655Z,2.96E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,EN9aQI617UEAAIC/AAAAAAAAgL8AAAAA,1,0,-16,12.8,-1,0,
puhatu,1.60364E+18,-1,0,1.97E+09,3.42,2,04-May,0,SF12BW125,fipy_e1,28.22812462,,868.5,2020-10-25T15:17:09.338784Z,2.74E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,AeFaQDPT4UHFsiRBRUKgQQAAgL8AAAAA,1,0,-15,9.2,10.29364491,20.03235817,
puhatu,1.60364E+18,-1,0,1.97E+09,3.42,6,04-May,0,SF12BW125,fipy_e1,28.60917091,,867.7,2020-10-25T15:47:16.396104Z,2.08E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,NAZbQJXf5EE8tiRBeHOfQQAAgL8AAAAA,1,0,-15,13,10.29449081,19.93138123,
puhatu,1.60364E+18,-1,0,1.97E+09,3.42,0,04-May,0,SF12BW125,fipy_e1,28.18478775,,868.1,2020-10-25T16:18:48.335469Z,3.97E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,octaQHJ64UEHtSRBsESgQQAAgL8AAAAA,1,0,-14,11,10.29419613,20.03353882,
puhatu,1.60364E+18,-1,0,1.97E+09,3.42,3,04-May,0,SF12BW125,fipy_e1,29.42125893,,867.1,2020-10-25T16:47:11.021724Z,1.38E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,hNRaQL1e60HktCRBPCehQQAAgL8AAAAA,1,0,-17,10.8,10.29416275,20.14415741,
puhatu,1.60365E+18,-1,0,1.97E+09,3.42,7,04-May,0,SF12BW125,fipy_e1,29.99506569,,867.9,2020-10-25T17:17:16.259895Z,3.19E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,vdFaQOX170FqqyRB0magQQAAgL8AAAAA,1,0,-17,10.2,10.29184914,20.05020523,
puhatu,1.60365E+18,-1,0,1.97E+09,3.42,5,04-May,0,SF12BW125,fipy_e1,29.13297653,,867.5,2020-10-25T17:47:15.848655Z,6.90E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,bLVaQFYQ6UEYqiRBz0KfQQAAgL8AAAAA,1,0,-14,10.2,10.29152679,19.90762138,
